id,name,price,original_price,discount,discount_rate,days_created,review_count,authors,images,categories,order_count
170708233.0,Thay Đổi Tí Hon - Hiệu Quả Bất Ngờ (Tái Bản),150000.0,189000.0,39000.0,21.0,584,566.0,James Clear,https://salt.tikicdn.com/ts/product/78/89/97/2d0d782be008d8208c6bc8a0a425149c.jpg,Sách tư duy - Kỹ năng sống,
271380890.0,Đúng Việc,98200.0,125000.0,26800.0,21.0,60,779.0,Giản Tư Trung,https://salt.tikicdn.com/ts/product/9b/40/d2/7bcafdd23071228eed1e51c99d8eb4f7.jpg,Sách tiếng Việt,
12138656.0,Nghệ Thuật Tư Duy Chiến Lược,186500.0,239000.0,52500.0,22.0,1677,6.0,Barry J. Nalebuff,https://salt.tikicdn.com/ts/product/14/05/da/54aced5d327d1c580719d26216757aa4.jpg,Sách tiếng Việt,
,,,,,,168,,,,,
1667307.0,Quân Vương – Thuật Cai Trị (Tái Bản),70200.0,109000.0,38800.0,36.0,2043,271.0,Niccolò Machiavelli,https://salt.tikicdn.com/ts/product/37/ac/1c/eb40db51e8203143d9c0b4839046c76a.jpg,Lý Luận Chính Trị,
225912339.0,Chủ nghĩa khắc kỷ - phong cách sống bản lĩnh và bình thản (Tái Bản),100000.0,149000.0,49000.0,33.0,244,64.0,William B.Irvine,https://salt.tikicdn.com/ts/product/05/89/91/1da1210dbe15a2d17f515fa7fc52c85b.png,Triết Học,
199216988.0,Càng Bình Tĩnh Càng Hạnh Phúc,99000.0,139000.0,40000.0,29.0,385,808.0,Vãn Tình,https://salt.tikicdn.com/ts/product/65/f1/49/e001afc576f7c479426ceab6f90f894a.png,Nhà Sách Tiki,
216124178.0,Muối – Sự Hồi Sinh Nơi Sâu Thẳm Vụn Vỡ,114000.0,166000.0,52000.0,31.0,265,85.0,Tôn Tần,https://salt.tikicdn.com/ts/product/7b/7f/ce/11102bde986c4bcb5026620d781b98a2.jpg,Sách tư duy - Kỹ năng sống,
8885999.0,Totto - Chan Bên Cửa Sổ (Tái Bản),73000.0,98000.0,25000.0,26.0,1759,2027.0,Kuroyanagi Tetsuko,https://salt.tikicdn.com/ts/product/7f/21/78/a9cb623c790d524f60846a7d1b1c2a54.jpg,Sách tiếng Việt,
243097256.0,Giận (Tái Bản),99000.0,135000.0,36000.0,27.0,229,96.0,Thích Nhất Hạnh,https://salt.tikicdn.com/ts/product/11/e5/02/08ed69be39598d415fd4e70aea99d1ac.jpg,Sách Tôn Giáo - Tâm Linh,
